Common name	InChI Key	Accession Numbers
nifurtimox	ARFHIAQFJWUCFH-UHFFFAOYSA-N	BRD-A00100033
hemado	KOCIMZNSNPOGOP-UHFFFAOYSA-N	BRD-A00267231
SA-3676	ASCBUEVCEVGOFP-UHFFFAOYSA-N	BRD-A00420644
BRD-A00474148	RCGAUPRLRFZAMS-UHFFFAOYSA-N	BRD-A00474148
otenzepad	UBRKDAVQCKZSPO-UHFFFAOYSA-N	BRD-A00520476
BRD-A00626522	JESWDHXLYTYZAC-UHFFFAOYSA-N	BRD-A00626522
noretynodrel	ICTXHFFSOAJUMG-OQPPHWFISA-N	BRD-A00758722
zebularine	RPQZTTQVRYEKCR-JJFBUQMESA-N	BRD-A01145011
trans-7-hydroxy-pipat	RTMIJLQPWFKAFE-FPYGCLRLSA-N	BRD-A01295252
7,8-dihydro-L-biopterin	FEMXZDUTFRTWPE-YRAGUDHZSA-N	BRD-A01317026
flumetasone	WXURHACBFYSXBI-DRBBXQFKSA-N	BRD-A01346607
chlormadinone	QMBJSIBWORFWQT-GDMUWPLKSA-N	BRD-A01593789
prednisolone	LRJOMUJRLNCICJ-AUGMLKDDSA-N	BRD-A01643550
BRD-A01960364	WJQMZXHQQRBUBD-UHFFFAOYSA-N	BRD-A01960364
BRD-A01973626	FSKZSCFSPFWKPI-UHFFFAOYSA-N	BRD-A01973626
BRD-A01999384	CLVUZWSRQXKIEX-UHFFFAOYSA-N	BRD-A01999384
tubaic-acid	CMXGHLJKXLIMAQ-UHFFFAOYSA-N	BRD-A02176148
betamethasone	UREBDLICKHMUKA-REKGUKDCSA-N	BRD-A02180903
EMF-sumo1-9	BFQJGJYTDOYXDQ-UHFFFAOYSA-N	BRD-A02198599
cyclopamine	QASFUMOKHFSJGL-ACLNMQFHSA-N	BRD-A02333338
ethinyl-estradiol	BFPYWIDHMRZLRN-OQPPHWFISA-N	BRD-A02367930
importazole	HKGJEZIGDHFJFL-UHFFFAOYSA-N	BRD-A02481876
dihydrodeoxygedunin	QDBAUJQKYJXHPB-OMRKLITNSA-N	BRD-A02713983
BRD-A02747686	MDQJPRMMNJMTSA-UHFFFAOYSA-N	BRD-A02747686
ARG-TC-41	OSQKAQCOFUNQAK-UHFFFAOYSA-N	BRD-A02809788
micropenin	UWYHMGVUTGAWSP-UHFFFAOYSA-N	BRD-A03044413
ritonavir	NCDNCNXCDXHOMX-UHFFFAOYSA-N	BRD-A03323675
ICI-89406	HTLWRKRZKFAAAH-UHFFFAOYSA-N	BRD-A03359064
BRD-A03436432	OYPCPJBAOPUYOB-UHFFFAOYSA-N	BRD-A03436432
CP-55940	YNZFFALZMRAPHQ-UHFFFAOYSA-N	BRD-A03816571
ST-014147	KMBPMDRMEHVHTJ-UHFFFAOYSA-N	BRD-A03926027
BRD-A03946276	VNYMEPQAFKNDRQ-UHFFFAOYSA-N	BRD-A03946276
YO-2	ZBCXDUNUUKRQSV-UHFFFAOYSA-N	BRD-A04026261
BRD-A04172077	VRCXJKSBSNVDFC-UHFFFAOYSA-N	BRD-A04172077
genipin	AZKVWQKMDGGDSV-UHFFFAOYSA-N	BRD-A04308630
maraviroc	GSNHKUDZZFZSJB-ILVMPNSOSA-N	BRD-A04352665
BRD-A04392722	MNZQMCZAJPXZMM-UHFFFAOYSA-N	BRD-A04392722
CGP-52432	GJZVQXWEIYRHBE-UHFFFAOYSA-N	BRD-A04668240
bucladesine	CJGYSWNGNKCJSB-UHFFFAOYSA-N	BRD-A04706586
norgestimate	KIQQMECNKUGGKA-OMEWWMGKSA-N	BRD-A04756508
ipratropium	OEXHQOGQTVQTAT-UHFFFAOYSA-N	BRD-A05352148
BRD-A05565054	OYBBUXRKEHCUIG-UHFFFAOYSA-N	BRD-A05565054
BRD-A05680309	POKZVJVCUGVHME-UHFFFAOYSA-N	BRD-A05680309
BRD-A05831822	SRDVQKBYLVCEKX-UHFFFAOYSA-N	BRD-A05831822
DL-TBOA	BYOBCYXURWDEDS-UHFFFAOYSA-N	BRD-A05874290
BRD-A06131576	JLBHTGXFDNZNJL-UHFFFAOYSA-N	BRD-A06131576
BRD-A06276885	PSPANKCQVWSVHM-UHFFFAOYSA-N	BRD-A06276885
SB-218078	OTPNDVKVEAIXTI-UHFFFAOYSA-N	BRD-A06352508
hydroquinidine	LJOQGZACKSYWCH-QPWZMSJCSA-N	BRD-A06390036
BRD-A06641369	SBSKQOIYKJFAJN-UHFFFAOYSA-N	BRD-A06641369
BRD-A06664848	RFBPLZZVEFTOML-UHFFFAOYSA-N	BRD-A06664848
dibutyrylcyclic-gmp	SWTMOFFYOXKQNN-UVQKOMKVSA-N	BRD-A06726973
MRS-1334	QFLOJAMZLQXHFS-UHFFFAOYSA-N	BRD-A06784547
BRD-A06909528	JOMQEKIENWKNHV-UHFFFAOYSA-N	BRD-A06909528
CVF-SUMO-13	MFDWJDXTGBHHCQ-UHFFFAOYSA-N	BRD-A06929388
hydrocortisone	VWQWXZAWFPZJDA-PILPDLGISA-N	BRD-A07000685
ipratropium	OEXHQOGQTVQTAT-RHRUOIOWSA-N	BRD-A07029265
BRD-A07614565	RDJCCPWITAIICC-UHFFFAOYSA-N	BRD-A07614565
epinephrine	UCTWMZQNUQWSLP-UHFFFAOYSA-N	BRD-A07765530
flavanone	ZONYXWQDUYMKFB-UHFFFAOYSA-N	BRD-A07824748
cilnidipine	KJEBULYHNRNJTE-UHFFFAOYSA-N	BRD-A07875874
rhodomyrtoxin-b	SGFCERQKVVMREN-UHFFFAOYSA-N	BRD-A08003242
BRD-A08610364	YNKFFBATAPFPBH-UHFFFAOYSA-N	BRD-A08610364
BRD-A08662020	PUQVAXDZGUENDK-UHFFFAOYSA-N	BRD-A08662020
heliotrine	LMFKRLGHEKVMNT-GVCFFYALSA-N	BRD-A08709697
cephalotaxine	YMNCVRSYJBNGLD-UHFFFAOYSA-N	BRD-A08877921
strychnine	QMGVPVSNSZLJIA-OFYMUHMXSA-N	BRD-A09094913
BRD-A09164687	QBVBSZGSMKFHHH-UHFFFAOYSA-N	BRD-A09164687
ST-024029	UIMTZSFVAUUJNX-CMDGGOBGSA-N	BRD-A09186529
norethindrone	IMONTRJLAWHYGT-FJMAIUEKSA-N	BRD-A09349126
bicuculline	IYGYMKDQCDOMRE-ZENAZSQFSA-N	BRD-A09495397
homatropine	ZTVIKZXZYLEVOL-FGZQJIAISA-N	BRD-A09539288
BRD-A09719808	OKEYLXGAJZVHLC-UHFFFAOYSA-N	BRD-A09719808
ST-023431	UAXNLFQWKCSHGV-TXPIITFASA-N	BRD-A09749088
SKF-81297	GHWJEDJMOVUXEC-UHFFFAOYSA-N	BRD-A09828896
BRD-A09984573	GTPGJPLMZNXVTL-UHFFFAOYSA-N	BRD-A09984573
dexamethasone	UREBDLICKHMUKA-QCYOSJOCSA-N	BRD-A10188456
BRD-A10330754	ZAUGEDQIMRFBDL-UHFFFAOYSA-N	BRD-A10330754
norketamine	BEQZHFIKTBVCAU-UHFFFAOYSA-N	BRD-A10355991
cyclopiazonic-acid	TZCOBUQKVNFIQF-ARUUDZKJSA-N	BRD-A10420615
GSK-429286A	OLIIUAHHAZEXEX-UHFFFAOYSA-N	BRD-A10523515
sulpiride	IAGQNKXBDXVWPR-UHFFFAOYSA-N	BRD-A10715913
imiloxan	UXABARREKCJULM-UHFFFAOYSA-N	BRD-A10903566
ambelline	QAHZAHIPKNLGAS-UVJOJOKMSA-N	BRD-A10969569
BCI-hydrochloride	XJDKPLZUXCIMIS-HKWRFOASSA-N	BRD-A11007541
