DrugBank ID	Accession Numbers	Common name	CAS	UNII	Synonyms	InChI Key	Canonical_SMILES
DB00006	BIOD00076 | BTD00076 | DB02351 | EXPT03302	Bivalirudin	128270-60-0	TN9BEX005G	Bivalirudin | Bivalirudina | Bivalirudinum	OIRCOABEOLEUMC-GEJPAHFPSA-N	CCC(C)C(C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC2=CC=C(C=C2)O)C(=O)NC(CC(C)C)C(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC3=CC=CC=C3)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C4CCCN4C(=O)C(CCCNC(=N)N)NC(=O)C5CCCN5C(=O)C(CC6=CC=CC=C6)N
DB00007	BIOD00009 | BTD00009	Leuprolide	53714-56-0	EFY6W0M8TG	Leuprorelin | Leuprorelina | Leuproreline | Leuprorelinum	GFIJNRVAKGFPGQ-LIJARHBVSA-N	CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
DB00014	BIOD00113 | BTD00113	Goserelin	65807-02-5	0F65R8P09N	Goserelin | Goserelina	BLCLNMBMMGCOAS-URPVMXJPSA-N	CC(C)CC(C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NNC(=O)N)NC(=O)C(COC(C)(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6
DB00027	BIOD00036 | BTD00036	Gramicidin D	1405-97-6	5IE62321P4	Bacillus brevis gramicidin D | Gramicidin | Gramicidin A | Gramicidin B | Gramicidin C | Gramicidina | Gramicidine	NDAYQJDHGXTBJL-MWWSRJDJSA-N	CC(C)CC(C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(C(C)C)C(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(C)C)C(=O)NC(CC3=CNC4=CC=CC=C43)C(=O)NC(CC(C)C)C(=O)NC(CC5=CNC6=CC=CC=C65)C(=O)NC(CC(C)C)C(=O)NC(CC7=CNC8=CC=CC=C87)C(=O)NCCO)NC(=O)CNC(=O)C(C(C)C)NC=O
DB00035	BIOD00061 | BIOD00112 | BTD00061 | BTD00112	Desmopressin	16679-58-6	ENR1LLB0FP	1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin | 1-deamino-8-D-arginine vasopressin | 1-desamino-8-D-arginine vasopressin | dDAVP | Desmopresina | Desmopressin | Desmopressine | Desmopressinum	NFLWUMRGJYTJIN-PNIOQBSNSA-N	C1CC(N(C1)C(=O)C2CSSCCC(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=C(C=C4)O)C(=O)NC(CCCN=C(N)N)C(=O)NCC(=O)N
DB00050	APRD00686 | BIOD00115 | BTD00115	Cetrorelix	120287-85-6	OON1HFZ4BA	Cetrorelix | Cetrorelixum	SBNPWPIBESPSIF-MHWMIDJBSA-N	CC(C)CC(C(=O)NC(CCCNC(=N)N)C(=O)N1CCCC1C(=O)NC(C)C(=O)N)NC(=O)C(CCCNC(=O)N)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CN=CC=C3)NC(=O)C(CC4=CC=C(C=C4)Cl)NC(=O)C(CC5=CC6=CC=CC=C6C=C5)NC(=O)C
DB00080	BIOD00111 | BTD00111	Daptomycin	103060-53-3	NWQ5N31VKK	daptomicina | Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N	CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
DB00091	BIOD00003 | BTD00003	Cyclosporine	59865-13-3	83HN0GTJ6D	Ciclosporin | Ciclosporina | Ciclosporine | Ciclosporinum | CsA | CyA | Cyclosporin | Cyclosporin A | Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
DB00093	BIOD00114 | BTD00114	Felypressin	56-59-7	17N2918V6G	2-(L-phenylalanine)-8-L-lysinevasopressin | Felipresina | Felypressin | Felypressine | Felypressinum | PLV-2	SFKQVVDKFKYTNA-DZCXQCEKSA-N	C1CC(N(C1)C(=O)C2CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2)CC(=O)N)CCC(=O)N)CC3=CC=CC=C3)CC4=CC=CC=C4)N)C(=O)NC(CCCCN)C(=O)NCC(=O)N
DB00104	BIOD00088 | BTD00088	Octreotide	83150-76-9	RWM8CCW8GP	Octreotida | Octreotide | Octreotidum | Octrotide	DEQANNDTNATYII-OULOTJBUSA-N	CC(C1C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CCCCN)CC2=CNC3=CC=CC=C32)CC4=CC=CC=C4)NC(=O)C(CC5=CC=CC=C5)N)C(=O)NC(CO)C(C)O)O
