drugbank_id	fdasrs_id	name	inchi_key
DB00007	37JNS02E7V	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	8E3C3C493W	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	EFY6W0M8TG	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	0F65R8P09N	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	6YUU2PV0U8	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	1K12647SFC	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	242K8LE2BC	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	ENR1LLB0FP	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	XB13HYU18U	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	26089221C6	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	2BT5NKS83L	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	DY3PDH8A8N	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	OON1HFZ4BA	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	W9Y8L7GP4C	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	XPQ226310Q	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	NWQ5N31VKK	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	83HN0GTJ6D	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	FUO6O3NDNH	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	H92K6Q47Q9	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	MWH8YQ1AIO	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	RWM8CCW8GP	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	1JJ4V52LB5	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	3RX65N0VN7	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	42M12OH369	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	5V5IOJ8338	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	8CVG31K45S	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	ERZ74D7E6J	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	F06SGE49M6	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J766QN40UD	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	X25TBW2YFJ	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	3141X260DR	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	AI1MR454XG	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
