drugbank_id	dailymed_id	inchi_key
DB00006	bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	leuprolide acetate	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	goserelin acetate	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	desmopressin acetate	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	cetrorelix acetate	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	octreotide acetate	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00117	histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00120	phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00123	lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00128	aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00133	serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	racemethionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00138	cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00149	leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00153	ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00156	threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00158	folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	retinol	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	vitamin a	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00165	pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00167	isoleucine	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00168	aspartame	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	cholecalciferol	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00172	proline	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	asparagine	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00175	pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	pravastatin sodium	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00176	fluvoxamine maleate	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
