drugbank_id	bindingdb_id	name	inchi_key
DB00006	50248103	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	50230126	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00035	50205291	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	50205308	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	50248241	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00091	50150950	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	50059090	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	50102442	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	50118216	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	83973	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	50022833	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50391006	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00118	28422	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	50403124	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	19473	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	50159792	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	18073	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00122	50026220	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	217367	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	217368	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	21959	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00127	79403	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	18125	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	31174	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00130	18121	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	18137	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	50192453	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	50280244	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	61258	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	92538	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	50240347	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	50448436	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	23167	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00135	18129	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00139	26121	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00142	17657	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	26431	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00145	18133	Glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
