drugbank_id	iuphar_id	name	inchi_key
DB00006	6470	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	1175	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	3879	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	2181	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	2182	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	1190	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00091	1024	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	2055	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	1188	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	5249	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00116	4675	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	3310	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	4623	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	4670	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	4679	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	4786	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	4809	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	3313	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	5797	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	4787	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	4551	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	4681	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	724	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	4680	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	721	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	4532	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	4651	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	4781	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	710	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	3309	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	4534	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
