drugbank_id	nikkaji_id	name	inchi_key
DB00006	J1.204.802E	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	J2.200.314C	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	J2.200.334H	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	J34.477J	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	J376.717E	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	J1.344.363G	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	J34.701I	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	J10.349G	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	J396.163J	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	J440.271E	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	J389.231J	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	J359.001A	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	J1.375.706B	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	J34.321H	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	J467.031K	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	J4.571C	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	J23.280G	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	J23.724H	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	J1.401.931F	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	J10.690I	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J2.783.085D	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J286.321I	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J458.035D	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J490.876G	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	J561.666B	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	J2.229.203J	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	J597.077F	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	J1.616.012A	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J1.784.640J	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J184.393A	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J2.048.827A	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J2.071.265A	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J2.071.266J	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J483.676F	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J484.203K	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	J554.008I	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	J1.218.634G	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	J1.290D	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	J1.479.082I	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	J1.505.030F	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
