drugbank_id	emolecules_id	name	inchi_key
DB00006	26985377	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	30513183	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	30152588	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	32279029	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	36753637	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	36753638	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	539933	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	30512904	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	32279210	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	26985577	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	27518864	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	30152507	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	30512865	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	31225500	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	31634744	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	36500763	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	31430490	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	32279200	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	11312095	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	30154746	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	31229906	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	32175131	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	32176443	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	36500583	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	10223599	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	29534828	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	30152013	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	30152476	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	30498944	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	30513081	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	31240365	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	35833724	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	36516947	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	36788813	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	496010	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	742499	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	30512779	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	27523048	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	29540888	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	30512806	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	6843567	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	789819	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	1988700	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	31593258	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	531244	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	26749873	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	27677804	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	6844015	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	10809366	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
