drugbank_id	clinicaltrials_id	name	inchi_key
DB00006	ANGIOMAX	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	ANGIOX	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	BG-8967	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	BG8967	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	BIVALIRUDIN	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	HIRULOG	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	A-43818	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	ABBOTT-43818	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CARCINIL	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CKD-841	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	ELIGARD	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	ENANTONE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPLIN	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPROLIDE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPROLIDE ACETATE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPROLIDE MONOACETATE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPRORELIN	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPRORELIN ACETATE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LUCRIN	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LUPRON	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LUPRON DEPOT	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	PROSTAP	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	TAP-144	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	TRENANTONE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	VIADUR	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	FERTILAN	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	GOSERELIN	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	GOSERELIN ACETATE	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	ICI 118,630	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	ICI-118630	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	ZOLADEX	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	CONCENTRAID	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DDAVP	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DESMOPRESSIN	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DESMOPRESSIN ACETATE	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	H01BA02	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	MINIRIN	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	NOCDURNA	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	NOCTIVA	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	STIMATE	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	CETRORELIX	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CETRORELIX ACETATE	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CETROTIDE	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	D-20761	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	NS-75A	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	SB-075 ACETATE	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	CIDECIN	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	CUBICIN	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	DAPTOMYCIN	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	LY 146032	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	LY-146032	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	27-400	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	ATOPICA	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CEQUA	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CICLOSPORIN	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CYCLOSPORIN A	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CYCLOSPORINE	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	GENGRAF	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	IKERVIS	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	NEORAL	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	NEUROSTAT	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	OL-27-400	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	OPTIMMUNE	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	RESTASIS	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	SANDIMMUN	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	SANDIMMUNE	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	FELYPRESSIN	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00093	PLV-2	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	CAM-2029	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CAM2029	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOLIN	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOTIDE	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOTIDE ACETATE	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOTIDE PAMOATE	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SANDOSTATIN	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS 201-995	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS 201-995 AC	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS 201-995 PA	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS-201-995	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS-201-995 AC	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS-201-995 PA	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS-995	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	SMS995	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	ABARELIX	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00106	PLENAXIS	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00106	PPI-149	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00106	R-3827	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00106	R3827	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	PYRIDOXAL 5-PHOSPHATE	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	PYRIDOXAL PHOSPHATE	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00117	HISTIDINE	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	HISTIDINE HYDROCHLORIDE	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	HISTIDINE MONOHYDROCHLORIDE	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	L-HISTIDINE	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	ADEMETIONINE	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ADOMET	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MSI-195	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	S-ADENOSYLMETHIONINE	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00120	L-PHENYLALANINE	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	PHENYLALANINE	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	BIOTIN	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	MD-1003	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	CHOLINE	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00122	METHYL-D9-CHOLINE	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	LYSINE	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	ARGININE	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	L-ARGININE	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ASCOR	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
