drugbank_id	chemicalbook_id	name	inchi_key
DB00006	CB9471951	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	CB7174300	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CB8398455	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	CB1281026	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	CB4281027	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	CB5487392	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CB6399559	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	CB0316370	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CB51478311	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CB9874701	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	CB8855073	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	CB5163816	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	CB0279552	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CB2138033	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	CB11117588	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	CB0257385	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CB22131140	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CB6757175	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CB82462145	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	CB3126462	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	CB6126463	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	CB6259109	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	CB2177472	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	CB2772471	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	CB6705020	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	CB3104826	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	CB5855496	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	CB6482930	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	CB8384166	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	CB5257557	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	CB54635331	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	CB2488691	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	CB4140195	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	CB51568650	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	CB8380047	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	CB9773699	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	CB0271541	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	CB3271542	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	CB1139255	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00122	CB91178266	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	CB2428693	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	CB4492106	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	CB6252771	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	CB0693158	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	CB2408147	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	CB9226645	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	CB3777943	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	CB7853704	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	CB1111051	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	CB3275333	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	CB6275334	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	CB3141599	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	CB6373566	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	CB7233502	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	CB8141600	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	CB2199856	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	CB7880919	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	CB14796928	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	CB3472365	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	CB34867000	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	CB6280105	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	CB8381468	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	CB8874643	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	CB4404572	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	CB2112323	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	CB9666441	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	CB0747387	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	CB5673304	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	CB7345179	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	CB5748697	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
