drugbank_id	dailtmed_new_id	name	inchi_key
DB00006	BIVALIRUDIN	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	LEUPROLIDE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	LEUPROLIDE ACETATE	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	GOSERELIN	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	GOSERELIN ACETATE	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	DESMOPRESSIN	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DESMOPRESSIN ACETATE	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	CETRORELIX	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CETRORELIX ACETATE	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	DAPTOMYCIN	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	CYCLOSPORINE	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	OCTREOTIDE	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	OCTREOTIDE ACETATE	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	PYRIDOXAL PHOSPHATE	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00117	HISTIDINE	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00120	PHENYLALANINE	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	BIOTIN	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	CHOLINE	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	LYSINE	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	ARGININE	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ASCORBIC ACID	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00128	ASPARTIC ACID	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	ORNITHINE	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	GLUTAMINE	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	ADENOSINE PHOSPHATE	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00133	SERINE	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	METHIONINE	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	RACEMETHIONINE	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
