drugbank_id	hmdb_id	name	inchi_key
DB00007	HMDB0041916	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	HMDB0014259	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	HMDB0014260	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	HMDB0014261	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00104	HMDB0014262	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	HMDB0001491	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	HMDB0000608	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	HMDB0001846	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	HMDB0062806	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	HMDB0000177	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	HMDB0001185	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	HMDB0000243	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	HMDB0000159	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	HMDB0000030	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	HMDB0000097	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	HMDB0000182	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	HMDB0003405	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	HMDB0062809	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	HMDB0142894	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	HMDB0000517	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	HMDB0003416	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	HMDB0062762	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	HMDB0000044	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	HMDB0001256	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	HMDB0000191	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	HMDB0006483	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	HMDB0062186	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	HMDB0062501	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	HMDB0000214	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	HMDB0003374	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	HMDB0000641	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	HMDB0003423	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
