drugbank_id	selleck_id	name	inchi_key
DB00080	Daptomycin	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	Cyclosporin-A(Cyclosporine-A)	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	Cyclosporine	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00115	Vitamin-B12	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00121	biotin-vitamin-b7	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00126	vitamin-c-ascorbic-acid	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00130	D-glutamine	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	Glutamine	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00136	Calcitriol-(Rocaltrol)	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00140	Riboflavin-Vitamin-B2	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00146	Calcifediol	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00153	vitamin-d2-ergocalciferol	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00168	aspartame	Aspartame	IAOZJIPTCAWIRG-QWRGUYRKSA-N
DB00169	vitamin-d3-cholecalciferol	Cholecalciferol	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00170	Menadione	Menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00173	adenine	Adenine	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00175	pravastatin-pravachol	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	Fluvoxamine-maleate	Fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	Valsartan(Diovan)	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	Ramipril(Altace)	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00181	r-baclofen	Baclofen	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00188	Bortezomib	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N
DB00190	Carbidopa	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00194	Adenosine(Adenocard)	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	Vidarabine(Vira-A)	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	betaxolol-betoptic	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00195	betaxolol-hydrochloride-betoptic	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	Fluconazole	Fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00198	oseltamivir-phosphate-Tamiflu	Oseltamivir	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	Erythromycin(E-Mycin)	Erythromycin	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00202	succinylcholine-suxamethonium-chloride-dihydrate	Succinylcholine	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	Sildenafil-citrate	Sildenafil	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00204	Dofetilide(Tikosyn)	Dofetilide	IXTMWRCNAAVVAI-UHFFFAOYSA-N
DB00205	Pyrimethamine	Pyrimethamine	WKSAUQYGYAYLPV-UHFFFAOYSA-N
DB00206	Reserpine	Reserpine	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00207	azithromycin-zithromax	Azithromycin	MQTOSJVFKKJCRP-BICOPXKESA-N
DB00208	ticlopidine-hydrochloride	Ticlopidine	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00209	Trospium-chloride-Sanctura	Trospium	OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DB00210	Adapalene	Adapalene	LZCDAPDGXCYOEH-UHFFFAOYSA-N
DB00214	Torsemide(Demadex)	Torasemide	NGBFQHCMQULJNZ-UHFFFAOYSA-N
DB00215	escitalopram-oxalate	Citalopram	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00216	eletriptan-hydrobromide	Eletriptan	PWVXXGRKLHYWKM-LJQANCHMSA-N
DB00218	Moxifloxacin	Moxifloxacin	FABPRXSRWADJSP-MEDUHNTESA-N
DB00222	Glimepiride	Glimepiride	WIGIZIANZCJQQY-RUCARUNLSA-N
DB00224	Indinavir	Indinavir	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00225	Gadodiamide(Omniscan)	Gadodiamide	HZHFFEYYPYZMNU-UHFFFAOYSA-K
DB00227	lovastatin-mevacor	Lovastatin	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00232	methyclothiazide	Methyclothiazide	CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00234	reboxetine-mesylate	Reboxetine	CBQGYUDMJHNJBX-RTBURBONSA-N
DB00235	Milrinone(Primacor)	Milrinone	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00238	Nevirapine(Viramune)	Nevirapine	NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00242	Cladribine	Cladribine	PTOAARAWEBMLNO-KVQBGUIXSA-N
DB00243	Ranolazine(Ranexa)	Ranolazine	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00243	Ranolazine-dihydrochloride	Ranolazine	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00244	Mesalamine(Lialda)	Mesalazine	KBOPZPXVLCULAV-UHFFFAOYSA-N
DB00245	benztropine-mesylate	Benzatropine	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00246	Ziprasidone-hydrochloride	Ziprasidone	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00249	idoxuridine	Idoxuridine	XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00252	Phenytoin-Lepitoin	Phenytoin	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00252	Phenytoin-sodium-Dilantin	Phenytoin	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00254	doxycycline-hcl	Doxycycline	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255	Diethylstilbestrol(Stilbestrol)	Diethylstilbestrol	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00257	Clotrimazole(Canesten)	Clotrimazole	VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00259	Sulfanilamide	Sulfanilamide	FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260	D-Cycloserine	Cycloserine	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00261	anagrelide-hydrochloride	Anagrelide	OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DB00263	Sulfisoxazole	Sulfisoxazole	NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264	metoprolol-tartrate	Metoprolol	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00268	ropinirole-hydrochloride	Ropinirole	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00270	Isradipine(Dynacirc)	Isradipine	HMJIYCCIJYRONP-UHFFFAOYSA-N
