drugbank_id	name	inchi_key
DB00006	bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00027	gramicidin d	NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00035	desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	l-lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	l-glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	alpha-linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00141	n-acetylglucosamine	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00142	glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00144	phosphatidyl serine	UNJJBGNPUUVVFQ-ZJUUUORDSA-N
DB00145	glycine	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	pyridoxal	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	creatine	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	leucine	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	cysteine	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	dihomo-gamma-linolenic acid	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	threonine	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	nadh	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	alanine	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	valine	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	vitamin a	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	vitamin e	GVJHHUAWPYXKBD-IEOSBIPESA-N
