drugbank_id	kegg_ligand_id	name	inchi_key
DB00007	C07612	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00035	C06944	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00080	C12013	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	C05086	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	C07306	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	C00018	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	C00175	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	C00101	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	C00135	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	C00768	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	C06419	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	C00019	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	C00022	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	C00079	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	C02057	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	C02265	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	C00120	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	C00114	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	C00047	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	C00739	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	C16440	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	C00062	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	C00792	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	C02385	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	C00072	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	C00750	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	C00049	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	C00402	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	C16433	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	C00077	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	C00515	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	C01602	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	C00064	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	C00303	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	C00819	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	C00020	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	C06427	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	C00065	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	C00716	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	C00740	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	C00073	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	C00855	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	C01733	Methionine	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	C00082	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	C01536	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	C06420	Tyrosine	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	C01673	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	C08601	Lutein	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	C00491	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	C01420	Cystine	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	C00042	Succinic acid	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	C00255	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	C00025	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	C00217	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	C00302	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	C00051	Glutathione	RWSXRVCMGQZWBV-WDSKDSINSA-N
