drugbank_id	mcule_id	name	inchi_key
DB00091	MCULE-4462773662	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	MCULE-6712278682	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00114	MCULE-8936350631	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	MCULE-4810176105	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00117	MCULE-2877373266	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MCULE-4083000888	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MCULE-6787534916	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MCULE-9609124805	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	MCULE-1541732906	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MCULE-3234801713	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	MCULE-8587144313	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	MCULE-2197316791	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MCULE-4249753593	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MCULE-4509365715	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MCULE-5960921520	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	MCULE-6549466078	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	MCULE-7440963355	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	MCULE-7712564949	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	MCULE-1814780282	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MCULE-3226089160	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MCULE-6537319758	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MCULE-7646209988	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	MCULE-1290049418	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MCULE-3125760737	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MCULE-5108123240	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
