drugbank_id	comptox_id	name	inchi_key
DB00006	DTXSID00155847	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	DTXSID50872411	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	DTXSID7049009	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	DTXSID7048297	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	DTXSID9046736	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	DTXSID1048259	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	DTXSID4046864	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	DTXSID7040996	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	DTXSID80156438	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	DTXSID1041009	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	DTXSID0020365	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	DTXSID6048599	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	DTXSID0048682	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	DTXSID20171443	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	DTXSID00207870	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	DTXSID4048351	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	DTXSID70146222	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	DTXSID7046594	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	DTXSID20177066	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	DTXSID50159597	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
