drugbank_id	lincs_id	name	inchi_key
DB00014	LSM-46023	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	LSM-5104	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00035	LSM-46024	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00091	LSM-1703	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	LSM-2280	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	LSM-42817	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	LSM-42829	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	LSM-42883	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00115	LSM-5024	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	LSM-6408	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00121	LSM-3994	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	LSM-5727	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	LSM-6430	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00130	LSM-4741	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	LSM-5914	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	LSM-6386	Adenosine phosphate	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	LSM-42939	alpha-Linolenic acid	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	LSM-45895	Serine	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00136	LSM-43088	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	LSM-43157	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	LSM-44626	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	LSM-45950	Calcitriol	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00140	LSM-4084	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00140	LSM-6648	Riboflavin	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	LSM-36375	Glutamic acid	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00146	LSM-43234	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00146	LSM-44630	Calcifediol	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00150	LSM-36836	Tryptophan	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00152	LSM-5996	Thiamine	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	LSM-43313	Ergocalciferol	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	LSM-42904	Dihomo-gamma-linolenic acid	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	LSM-45926	Citrulline	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00158	LSM-5355	Folic acid	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	LSM-42964	Icosapent	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00162	LSM-43173	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	LSM-43174	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	LSM-5317	Vitamin A	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	LSM-4487	Vitamin E	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	LSM-5324	Pyridoxine	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	LSM-45889	Lipoic acid	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00170	LSM-3755	Menadione	MJVAVZPDRWSRRC-UHFFFAOYSA-N
DB00175	LSM-1760	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	LSM-3347	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	LSM-45836	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	LSM-4966	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00175	LSM-5402	Pravastatin	TUZYXOIXSAXUGO-PZAWKZKUSA-N
DB00176	LSM-3625	Fluvoxamine	CJOFXWAVKWHTFT-XSFVSMFZSA-N
DB00177	LSM-2993	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00177	LSM-4977	Valsartan	ACWBQPMHZXGDFX-QFIPXVFZSA-N
DB00178	LSM-1717	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	LSM-5228	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00178	LSM-5950	Ramipril	HDACQVRGBOVJII-JBDAPHQKSA-N
DB00179	LSM-6507	Masoprocol	HCZKYJDFEPMADG-TXEJJXNPSA-N
DB00180	LSM-1711	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00180	LSM-3089	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00180	LSM-5356	Flunisolide	XSFJVAJPIHIPKU-XWCQMRHXSA-N
DB00181	LSM-5169	Baclofen	KPYSYYIEGFHWSV-UHFFFAOYSA-N
DB00184	LSM-2093	Nicotine	SNICXCGAKADSCV-JTQLQIEISA-N
DB00186	LSM-4970	Lorazepam	DIWRORZWFLOCLC-UHFFFAOYSA-N
DB00187	LSM-4957	Esmolol	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00188	LSM-6281	Bortezomib	GXJABQQUPOEUTA-RDJZCZTQSA-N
DB00190	LSM-5128	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00190	LSM-5850	Carbidopa	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	LSM-4174	Phentermine	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00193	LSM-3125	Tramadol	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00193	LSM-5221	Tramadol	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00194	LSM-28568	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	LSM-4491	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	LSM-5800	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00194	LSM-6461	Vidarabine	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	LSM-1255	Betaxolol	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	LSM-2106	Fluconazole	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00197	LSM-4890	Troglitazone	GXPHKUHSUJUWKP-UHFFFAOYSA-N
